Title,Authors,Year,Journal,Journal_type,Type_stimulation,DBS,Electrode_type,Concurrent_fMRI,Brain_area,Brain_Name,Brain_Atlas,Brain_Parc,Brain_ParcLabel,Brain_Parc_Numb,Cortical_Subcortical,Species,Species_cat,Number_animals,Sex,Frequency,Amplitude_lower,Amplitude_higher,Amplitude_unit,Cathode_anode,Pulse_width,Waveform,Timespan,Task_description,Task_category,Behavioural_output,Main_output,Effect,Behavioural_description,Summary,Notes
Multiple representations of body movements in mesial area 6 and the adjacent cingulate cortex: an intracortical microstimulation study in the macaque monkey,"Luppino et al.,",1991,Journal of Comparative Neurology,specialty,electrical,NO,Microelectrode,NO,Area24,24,6,ACC,3,1,cortical,"Macaca nemestrina, Macaca fascicularis",non_rhesus,3,unclear,330 Hz,3,40,μA,cathodal,0.2 ms,monophasic,50 ms,no task,no task & resting-state,movement,movement,direct,additional motor maps,motor,
A cortical motor region that represents the cutaneous back muscles in the macaque monkey,"Akazawa et al.,",2000,Neuroscience Letters,specialty,electrical,NO,Microelectrode,NO,dACC,24,6,ACC,3,1,cortical,Macaca fuscata,non_rhesus,4,"male, female",333 Hz,0,60,μA,cathodal,0.2 ms,monophasic,66-140 ms,no task,no task & resting-state,movement,movement,direct,back muscle contractions,motor,
A cortical motor region that represents the cutaneous back muscles in the macaque monkey,"Akazawa et al.,",2000,Neuroscience Letters,specialty,electrical,NO,Microelectrode,NO,Area24c,24c,10,ACC,3,1,cortical,Macaca fuscata,non_rhesus,4,"male, female",333 Hz,0,60,μA,cathodal,0.2 ms,monophasic,66-140 ms,no task,no task & resting-state,movement,movement,direct,voluntary movement,motor,
Effect of brain stimulation on aldosterone secretion in the rhesus monkey (Macaca Mulatta),"Frankel et al.,",1976,Journal of Endocrinology,specialty,electrical,NO,Macroelectrode,NO,cingulate cortex,ACgC,2,ACC,3,1,cortical,Macaca mulatta,rhesus,4,"male, female",50 Hz,200,600,μA,unclear,unclear,unclear,30 s,no task,no task & resting-state,hormones,hormonal,direct,increase in plasma aldosterone levels,NA,
Pituitary-adrenal response to stimulation of the limbic system and lateral hypothalamus in the rhesus monkey (Macacca mulatta),"Frankel et al.,",1978,Acta Endicronologica,specialty,electrical,NO,Macroelectrode,NO,cingulate gyrus,ACgC,2,ACC,3,1,cortical,Macaca mulatta,rhesus,4,"male, female",50 Hz,200,600,μA,unclear,unclear,unclear,30 s,no task,no task & resting-state,hormones,hormonal,direct,increase in plasma cortisol,NA,
Central neural correlates of learned heart rate control during exercise: central command demystified,"Chefer et al.,",1997,Journal of Applied Physiology,specialty,electrical,NO,Macroelectrode,NO,CCr (cingulate),24,6,ACC,3,1,cortical,Macaca mulatta,rhesus,4,male,45 Hz,0.2,0.4,mA,unclear,2.5 ms,unclear,500 ms,no task,no task & resting-state,heart rate,hemodynamic,direct,increases in heartrate,cardiac,
Topographical distribution and functional properties of cortically induced rhythmical jaw movements in the monkey (Macaca fascicularis),"Huang et al.,",1989,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,CMAd,24,6,ACC,3,1,cortical,Macaca fascicularis,non_rhesus,3,female,20-300 Hz,0,60,μA,unclear,0.2 ms,unclear,3000-4000 ms,no task,no task & resting-state,movement,movement,direct,jaw movement ,motor,
Cingulate microstimulation induces negative decision-making via reduced top-down influence on primate fronto-cingulo-striatal network,"Amemori et al.,",2024,Nature Communications,broad,electrical,NO,Microelectrode,NO,25,25,5,ACC,3,1,cortical,Macaca mulatta,rhesus,2,female,200 Hz,80,90,μA,cathode first,200 μs,biphasic,1000 ms,approach/avoid task,"conditioning, reward & motivation",hands,hands,indirect,Induced negative bias in decision-making,,
Low-frequency stimulation depresses the primate anterior-cingulate-cortex and prevents spontaneous recovery of aversive memories,"Klavir et al.,",2012,Journal of Neuroscience,specialty,electrical,NO,Microelectrode,NO,dACC,24,6,ACC,3,1,cortical,Macaca fascicularis,non_rhesus,2,male,1 Hz,90,90,μA,cathode first,0.4 ms,biphasic,15 min,"aversive conditioning, air-puff","conditioning, reward & motivation",neural,neural,indirect,LFS successful in preventing spontaneous recovery of the memory 24–72 h following extinction,anxiety,
Effects of anterior cingulate microstimulation on pro- and antisaccades in nonhuman primates,"Phillips et al.,",2011,Journal of Cognitive Neuroscience,specialty,electrical,NO,Microelectrode,NO,dACC,24,6,ACC,3,1,cortical,Macaca mulatta,rhesus,3,male,100 Hz,50,50,μA,unclear,0.3 ms,biphasic,300 ms,visually guided saccade task,eye movement & visual,saccades,eyes,indirect,"response times for pro-saccades were increased, and decreased for anti-saccades",cognitive control,
Localized microstimulation of primate pregenual cingulate cortex induces negative decision-making,"Amemori & Graybiel,",2012,Nature Neuroscience,specialty,electrical,NO,Microelectrode,YES,pACC,32,4,ACC,3,1,cortical,Macaca mulatta,rhesus,3,female,200 Hz,70,150,μA,cathode first,0.4 ms,biphasic,1000 ms,visual motor task,visual perception & discrimination,hands,hands,indirect,"avoiding decision making to stimulated targets. Notably, microstimulation in this subzone, but not elsewhere in the pACC, increased negative decision-making ",reward,
Forelimb muscle representations and output properties of motor areas in the mesial wall of rhesus macaques,"Boudrias et al.,",2010,Cerebral Cortex,specialty,electrical,NO,Microelectrode,NO,CMAd,24,6,ACC,3,1,cortical,Macaca mulatta,rhesus,2,male,330 Hz,30,100,μA,cathode first,0.4 ms,biphasic,100-500 ms,reach and grasp task,"motor, reaching & grasping",hands,hands,mixed,weak facilitation of limb movement,motor,
Penile erection evoked from forebrain structures in Macaca mulatta,"Robinson & Mishkin,",1968,Archives of Neurology,specialty,electrical,NO,Macroelectrode,NO,ACCg,24,3,ACC,3,1,cortical,Macaca mulatta,rhesus,15,male,50 Hz,0,1,mA,cathodal,1.0 ms,monophasic,10000-30000 ms,no task,no task & resting-state,sexual,movement,mixed,Moderate chance of eliciting erections,sexual,
Electrophysiology of the frontal granular cortex. III. The cingulate-prefrontal relation in primate,"Desiraju,",1976,Brain Research,specialty,electrical,NO,Macroelectrode,NO,ACC,ACC,3,ACC,3,1,cortical,Macaca mulatta,rhesus,15,unclear,"10, 50 Hz",unclear,unclear,unclear,unclear,0.1-0.2 ms,unclear,unclear,no task,no task & resting-state,movement,movement,mixed,"high frequency (over 50 Hz) stimulations resulted in some motor responses (turning of head and eyes, changes in facial expressions, no vocalizations or signs of fear)",emotional,
Closed-loop microstimulations of the orbitofrontal cortex during real-life gaze interaction enhance dynamic social attention,"Fan et al.,",2024,Neuron,specialty,electrical,NO,Microelectrode,NO,ACCg,24,3,ACC,3,1,cortical,Macaca mulatta,rhesus,2,male,100 Hz,75,75,μA,cathode first,0.4 ms,biphasic,200 ms,social gaze (another monkey),"cognitive, memory & decision-making",saccades,eyes,no,no long or short term effect on social gaze differences after ACC stimulation,social,
Neurons of the anterior mesial cortex related to faciovocal activity in the awake monkey,"West & Larson,",1995,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,ACC,ACC,3,ACC,3,1,cortical,Macaca nemestrina,non_rhesus,2,unclear,20-80 Hz,400,400,μA,unclear,0.1 ms,biphasic,10000 ms,"jaw opening, vocalization training","motor, reaching & grasping",movement,movement,no,not able to induce vocalization through stimulation,emotion,Perhaps it's micro-ampere instead of mA
Asymmetric effective connectivity between primate anterior cingulate and lateral prefrontal cortex revealed by electrical microstimulation,"Nacher et al.,",2019,Brain Structure & Function,specialty,electrical,NO,Microelectrode,NO,dACC,24,6,ACC,3,1,cortical,Macaca mulatta,rhesus,2,male,4 Hz,140,500,μA,cathode first,480 μs,biphasic,20 ms,no task,no task & resting-state,neural,neural,no,no behavioural effects of stimulation,NA,
Consistent linear and non-linear responses to invasive electrical brain stimulation across individuals and primate species with implanted electrodes,"Basu et al.,",2019,Brain Stimulation,specialty,electrical,NO,Macroelectrode,NO,dACC,24,6,ACC,3,1,cortical,Macaca mulatta,rhesus,4,male,10-400 Hz,2,10,mA,unclear,90 μs,biphasic,400 ms,no task,no task & resting-state,neural,neural,no,no behavioural effects of stimulation,NA,
Consistent linear and non-linear responses to invasive electrical brain stimulation across individuals and primate species with implanted electrodes,"Basu et al.,",2019,Brain Stimulation,specialty,electrical,NO,Macroelectrode,NO,rACC,32,4,ACC,3,1,cortical,Macaca mulatta,rhesus,3,male,10-400 Hz,0.16,10,mA,unclear,90 μs,biphasic,400 ms,no task,no task & resting-state,neural,neural,no,no behavioural effects of stimulation,NA,
CONDITIONED REFLEXES ELICITED BY ELECTRICAL STIMULATION OF THE BRAIN IN MACAQUES,"Doty,",1965,Journal of Neurophysiology,specialty,electrical,NO,Macroelectrode,NO,vmPFC,OFC,16,OFC,16,3,cortical,Macaca fascicularis,non_rhesus,2,unclear,50 Hz,0.05,0.7,mA,unclear,0.5 ms,monophasic,seconds,conditioned response associated with stimulation,"conditioning, reward & motivation",hands,hands,direct,"looks into a specific direction, moves head",decision,
An electrophysiological and behavioural study of self-stimulation in the orbitofrontal cortex of the rhesus monkey,"Mora et al.,",1980,Brain Research Bulletin,specialty,electrical,NO,Macroelectrode,NO,OFC,OFC,16,OFC,16,3,cortical,Macaca mulatta,rhesus,4,unclear,100 Hz,0.1,1,mA,cathodal,0.5 ms,monophasic,300 ms,ICSS,"conditioning, reward & motivation",hands,hands,direct,increases positive self-stimulation,reward,
Neurophysiological analysis of brain-stimulation reward in the monkey,"Rolls et al.,",1980,Brain Research,specialty,electrical,NO,Macroelectrode,NO,OFC,OFC,16,OFC,16,3,cortical,Macaca mulatta,rhesus,2,unclear,100 Hz,0.05,0.8,mA,cathodal,0.5 ms,monophasic,300 ms,ICSS,"conditioning, reward & motivation",hands,hands,direct,self-stimulation shown in this region,reward,
Intracerebral self-administration of amphetamine by rhesus monkeys,"Phillips et al.,",1981,Neuroscience Letters,specialty,electrical,NO,Macroelectrode,NO,OFC,OFC,16,OFC,16,3,cortical,Macaca mulatta,rhesus,2,male,100 Hz,0.2,2,mA,unclear,0.5 ms,unclear,500 ms,ICSS,"conditioning, reward & motivation",hands,hands,direct,strong ICSS effects in OFC,motivation,
